Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
cluster_001_consensus	cds	678710	680293	-	FAFAHP_02870	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	COG:COG0138, COG:F, GO:0003937, GO:0004643, GO:0006189, RefSeq:WP_016904525.1, SO:0001217, UniParc:UPI00037E5BC2, UniRef:UniRef100_A0A2N7V8F7, UniRef:UniRef50_B2AH76, UniRef:UniRef90_B2SRB2
cluster_001_consensus	cds	680368	680598	+	FAFAHP_02875	brkB	YihY/virulence factor BrkB family protein	SO:0001217, UniParc:UPI0003E0759E, UniRef:UniRef100_W4SHZ6, UniRef:UniRef50_W4SHZ6, UniRef:UniRef90_W4SHZ6
cluster_001_consensus	cds	681353	685930	+	FAFAHP_02880		hypothetical protein	PFAM:PF00818.20
cluster_001_consensus	cds	686234	686506	-	FAFAHP_02885	fis	DNA-binding transcriptional regulator Fis	COG:COG2901, COG:K, GO:0006355, GO:0043565, RefSeq:WP_002804983.1, SO:0001217, UniParc:UPI000012A7D1, UniRef:UniRef100_Q8PQ10, UniRef:UniRef50_Q8PQ10, UniRef:UniRef90_Q8PQ10
cluster_001_consensus	cds	686623	687768	-	FAFAHP_02890		DUF3426 domain-containing protein	RefSeq:WP_081327597.1, SO:0001217, UniParc:UPI0009BDFEDA, UniRef:UniRef100_A0A5P3KMA7, UniRef:UniRef50_V7ZGF0, UniRef:UniRef90_A0A2S7A1M7
cluster_001_consensus	cds	688128	688505	-	FAFAHP_02895	hipB	Transcriptional regulator, contains XRE-family HTH domain	COG:COG1396, COG:K, RefSeq:WP_016903361.1, SO:0001217, UniParc:UPI000302C5A4, UniRef:UniRef100_A0A2N7V8H9, UniRef:UniRef50_A0A1Y6H322, UniRef:UniRef90_A0A2N7V8H9
cluster_001_consensus	cds	688653	689156	+	FAFAHP_02900		DUF2628 domain-containing protein	RefSeq:WP_043088306.1, SO:0001217, UniParc:UPI000460F038, UniRef:UniRef100_A0A5P3KN67, UniRef:UniRef50_A0A0G8ZIN1, UniRef:UniRef90_A0A0E3UG34
cluster_001_consensus	cds	689169	690134	-	FAFAHP_02905	prmA	50S ribosomal protein L11 methyltransferase	SO:0001217, UniParc:UPI0004B823FB, UniRef:UniRef100_A0A0E3YRY1, UniRef:UniRef50_B2FJP0, UniRef:UniRef90_A0A0E3YRY1
cluster_001_consensus	cds	690457	691383	+	FAFAHP_02910		DUF2059 domain-containing protein	RefSeq:WP_043088304.1, SO:0001217, UniParc:UPI0004619268, UniRef:UniRef100_A0A5P3KJS0, UniRef:UniRef50_A0A0U5F7E0, UniRef:UniRef90_A0A381LN91
cluster_001_consensus	cds	691380	691742	+	FAFAHP_02915		DUF4124 domain-containing protein	RefSeq:WP_039531218.1, SO:0001217, UniParc:UPI00039DE01E, UniRef:UniRef100_A0A8E4EXP2, UniRef:UniRef50_A0A098Q205, UniRef:UniRef90_A0A0Q5G0A3
cluster_001_consensus	cds	691577	691909	-	FAFAHP_02920		hypothetical protein	
cluster_001_consensus	cds	692013	693380	-	FAFAHP_02925	accC	acetyl-CoA carboxylase biotin carboxylase subunit	COG:COG0439, COG:I, RefSeq:WP_016903366.1, SO:0001217, UniParc:UPI00031E4FBE, UniRef:UniRef100_A0A0E3YTG3, UniRef:UniRef50_P24182, UniRef:UniRef90_D2UAQ1
cluster_001_consensus	cds	693423	693737	-	FAFAHP_02930		Four helix bundle protein	SO:0001217, UniRef:UniRef50_A0A1Q7E3X2, UniRef:UniRef90_A0A383SSB8
cluster_001_consensus	cds	693829	694314	-	FAFAHP_02935	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein	RefSeq:WP_016903367.1, SO:0001217, UniParc:UPI000306844E, UniRef:UniRef100_A0A0E3UG36, UniRef:UniRef50_A0A0S2G1P1, UniRef:UniRef90_A0A0U5F7X3
cluster_001_consensus	cds	694412	694858	-	FAFAHP_02940	aroQ	type II 3-dehydroquinate dehydratase	COG:COG0757, COG:E, EC:4.2.1.10, GO:0003855, GO:0008652, GO:0009073, GO:0009423, RefSeq:WP_039811529.1, SO:0001217, UniParc:UPI0003A6283E, UniRef:UniRef100_W4SEG7, UniRef:UniRef50_Q82WL9, UniRef:UniRef90_Q4UZB2
cluster_001_consensus	cds	694985	695728	-	FAFAHP_02945	tnp	IS3 family transposase ORF B	COG:COG2801, COG:X, SO:0001217, UniRef:UniRef50_A0A0H2XAY0, UniRef:UniRef90_A0A0H2XAY0
cluster_001_consensus	cds	695827	696093	-	FAFAHP_02950	tnp	IS3 family ISXca2 transposase ORF A	IS:ISXca2, RefSeq:WP_003474297.1, SO:0001217, UniParc:UPI0001FD4BA8, UniRef:UniRef100_W4SHX1, UniRef:UniRef50_A0A352KQN0, UniRef:UniRef90_A0A0B2C525
cluster_001_consensus	cds	696511	698835	-	FAFAHP_02955		Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase	RefSeq:WP_054590790.1, SO:0001217, UniParc:UPI0006CAC606, UniRef:UniRef100_A0A5P3KKM0, UniRef:UniRef50_D2UAQ5, UniRef:UniRef90_A0A6V7B9Z3
cluster_001_consensus	cds	698841	699173	-	FAFAHP_02960	cutA	Divalent-cation tolerance protein CutA	KEGG:K03926, RefSeq:WP_026064537.1, SO:0001217, UniParc:UPI0002FD409A, UniRef:UniRef100_W4SG82, UniRef:UniRef50_F0C8K1, UniRef:UniRef90_F0C8K1
cluster_001_consensus	cds	699414	701225	-	FAFAHP_02965		Big-5 domain-containing protein	RefSeq:WP_224096816.1, SO:0001217, UniParc:UPI001CC417AB, UniRef:UniRef100_UPI001CC417AB, UniRef:UniRef50_A0A0S2G1W2, UniRef:UniRef90_A0A6V7BA09
cluster_001_consensus	cds	701657	701944	+	FAFAHP_02970	groES	Co-chaperonin GroES	GO:0005524, GO:0005737, GO:0140662, RefSeq:WP_003483210.1, SO:0001217, UniParc:UPI000012765B, UniRef:UniRef100_P0A0R5, UniRef:UniRef50_P0A0R5, UniRef:UniRef90_P0A0R5
cluster_001_consensus	cds	702092	703732	+	FAFAHP_02975	groL	chaperonin GroEL	COG:COG0459, COG:O, EC:5.6.1.7, GO:0005524, GO:0006457, GO:0009408, GO:0016853, GO:0042026, GO:0051082, GO:0051085, GO:0140662, GO:1990220, RefSeq:WP_026064539.1, SO:0001217, UniParc:UPI0002EB8607, UniRef:UniRef100_A0A8E4GI81, UniRef:UniRef50_O66200, UniRef:UniRef90_Q4UZA7
cluster_001_consensus	cds	703852	705969	-	FAFAHP_02980		Type III secretion system effector protein	RefSeq:WP_043087139.1, SO:0001217, UniParc:UPI000460D074, UniRef:UniRef100_A0A5P3KNB3, UniRef:UniRef50_V7ZFD5, UniRef:UniRef90_Q8PPZ0
cluster_001_consensus	cds	706324	709284	+	FAFAHP_02985	fepA	Outer membrane receptor for ferrienterochelin and colicins	COG:COG4771, COG:P, SO:0001217, UniRef:UniRef50_A0A2S7A554, UniRef:UniRef90_A0A2S7DJC0
cluster_001_consensus	cds	709746	710819	+	FAFAHP_02990	aroG1	3-deoxy-7-phosphoheptulonate synthase	COG:COG0722, COG:E, EC:2.5.1.54, KEGG:K01626, RefSeq:WP_039811504.1, SO:0001217, UniParc:UPI0003E078B9, UniRef:UniRef100_W4SE37, UniRef:UniRef50_A2S579, UniRef:UniRef90_V7ZHB9
cluster_001_consensus	cds	711245	712759	-	FAFAHP_02995	aCH1	Propionyl CoA:succinate CoA transferase	COG:C, COG:COG0427, RefSeq:WP_039516590.1, SO:0001217, UniParc:UPI0003E08180, UniRef:UniRef100_W4SDG7, UniRef:UniRef50_A0A653MXP6, UniRef:UniRef90_A0A2S7BQS2
cluster_001_consensus	cds	713148	715325	+	FAFAHP_03000		DUF3971 domain-containing protein	RefSeq:WP_039516588.1, SO:0001217, UniParc:UPI0003A86CDE, UniRef:UniRef100_A0A7U7HQC0, UniRef:UniRef50_B4SIS8, UniRef:UniRef90_V7ZH03
cluster_001_consensus	cds	715530	717944	+	FAFAHP_03005		DUF748 domain-containing protein	RefSeq:WP_043087143.1, SO:0001217, UniParc:UPI0003E06C45, UniRef:UniRef100_W4SCX0, UniRef:UniRef50_A0A0U5BN64, UniRef:UniRef90_A0A0E3UG40
cluster_001_consensus	cds	718363	718872	+	FAFAHP_03010	rpoE	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	COG:COG1595, COG:K, RefSeq:WP_039516578.1, SO:0001217, UniParc:UPI0003E0828B, UniRef:UniRef100_W4SES3, UniRef:UniRef50_W4SES3, UniRef:UniRef90_W4SES3
cluster_001_consensus	cds	718882	719931	+	FAFAHP_03015	fecR	Iron dicitrate transport regulator FecR	RefSeq:WP_081327667.1, SO:0001217, UniParc:UPI0003E08626, UniRef:UniRef100_W4SE34, UniRef:UniRef50_A0A157SMW8, UniRef:UniRef90_A0A383SRU4
cluster_001_consensus	cds	720050	722581	+	FAFAHP_03020		STN domain-containing protein	RefSeq:WP_043104902.1, SO:0001217, UniParc:UPI0004B5B830, UniRef:UniRef100_UPI0004B5B830, UniRef:UniRef50_A0A076Q186, UniRef:UniRef90_W4SDF8
cluster_001_consensus	cds	722622	724244	+	FAFAHP_03025		PepSY domain-containing protein	RefSeq:WP_043087145.1, SO:0001217, UniParc:UPI00046189A8, UniRef:UniRef100_A0A5P3KK57, UniRef:UniRef50_Q8P4W0, UniRef:UniRef90_A0A8D6UL18
cluster_001_consensus	cds	724268	724564	+	FAFAHP_03030		Iron transporter	SO:0001217, UniParc:UPI0003E082E9, UniRef:UniRef100_W4SCW6, UniRef:UniRef50_Q8P4V9, UniRef:UniRef90_A0A2S7CK31
cluster_001_consensus	cds	724552	724902	+	FAFAHP_03035		DUF3325 domain-containing protein	RefSeq:WP_224096818.1, SO:0001217, UniParc:UPI001CC707B1, UniRef:UniRef100_UPI001CC707B1, UniRef:UniRef50_A9BZL1, UniRef:UniRef90_A0A0E3UGD2
cluster_001_consensus	cds	725300	728125	+	FAFAHP_03040	glnE	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	RefSeq:WP_054590791.1, SO:0001217, UniParc:UPI0006CAD574, UniRef:UniRef100_A0A5P3KKJ7, UniRef:UniRef50_Q4UZ80, UniRef:UniRef90_A0A0E3UG42
cluster_001_consensus	cds	728267	728824	-	FAFAHP_03045	yhhQ	queuosine precursor transporter	COG:COG1738, COG:J, RefSeq:WP_039510249.1, SO:0001217, UniParc:UPI0003E0811E, UniRef:UniRef100_A0A8E4EYL4, UniRef:UniRef50_A0A157SWK6, UniRef:UniRef90_Q8P4V5
cluster_001_consensus	cds	729330	729833	-	FAFAHP_03050		VHL domain-containing protein	RefSeq:WP_039510247.1, SO:0001217, UniParc:UPI0003E08138, UniRef:UniRef100_W4SPJ5, UniRef:UniRef50_A0A2S7CAI8, UniRef:UniRef90_A0A383SRP5
cluster_001_consensus	cds	729830	730747	-	FAFAHP_03055		DUF2145 domain-containing protein	SO:0001217, UniRef:UniRef50_Q5GUV0, UniRef:UniRef90_A0A0Q5J100
cluster_001_consensus	cds	730744	731691	-	FAFAHP_03060		Nucleoside-diphosphate sugar epimerase	KEGG:K07276, RefSeq:WP_043087633.1, SO:0001217, UniParc:UPI000461196D, UniRef:UniRef100_A0A5P3KKK6, UniRef:UniRef50_A0A1M4IQD2, UniRef:UniRef90_A0A7W9ECE6
cluster_001_consensus	cds	731828	732418	+	FAFAHP_03065		malonic semialdehyde reductase	RefSeq:WP_039510243.1, SO:0001217, UniParc:UPI0003E08473, UniRef:UniRef100_W4SNW8, UniRef:UniRef50_A0A0F7KTZ8, UniRef:UniRef90_V7ZHE1
cluster_001_consensus	cds	732648	733379	+	FAFAHP_03070	yceI	Polyisoprenoid-binding periplasmic protein YceI	COG:COG2353, COG:R, RefSeq:WP_081327666.1, SO:0001217, UniParc:UPI00046207C7, UniRef:UniRef100_A0A5P3KKW0, UniRef:UniRef50_A0A0K0GGM4, UniRef:UniRef90_A0A0K0GGM4
cluster_001_consensus	cds	733604	734392	-	FAFAHP_03075		FAD-binding FR-type domain-containing protein	RefSeq:WP_039515618.1, SO:0001217, UniParc:UPI0003E085E5, UniRef:UniRef100_W4SN82, UniRef:UniRef50_M5CM43, UniRef:UniRef90_W4SN82
cluster_001_consensus	cds	734756	735304	-	FAFAHP_03080	padR	PadR domain-containing protein	SO:0001217, UniParc:UPI0003E07276, UniRef:UniRef100_W4SNX3, UniRef:UniRef50_A0A1C3NQE7, UniRef:UniRef90_W4SNX3
cluster_001_consensus	cds	735491	737137	+	FAFAHP_03085	mdcA	malonate decarboxylase subunit alpha	COG:COG4670, COG:I, RefSeq:WP_039515616.1, SO:0001217, UniParc:UPI0003E082F2, UniRef:UniRef100_W4SM54, UniRef:UniRef50_O06924, UniRef:UniRef90_H8FBT9
cluster_001_consensus	cds	737147	737464	+	FAFAHP_03090	mdcC	malonate decarboxylase acyl carrier protein	GO:0000036, GO:0005737, RefSeq:WP_016902872.1, SO:0001217, UniParc:UPI00030FECC7, UniRef:UniRef100_A0A0E3UGD6, UniRef:UniRef50_B4SNX3, UniRef:UniRef90_Q3BY37
cluster_001_consensus	cds	737571	738491	+	FAFAHP_03095	mdcD	biotin-independent malonate decarboxylase subunit beta	COG:COG0777, COG:I, EC:4.1.1.87, KEGG:K13932, RefSeq:WP_039515614.1, SO:0001217, UniParc:UPI0003E07F73, UniRef:UniRef100_W4SMS6, UniRef:UniRef50_G0ABH6, UniRef:UniRef90_H8FBU1
cluster_001_consensus	cds	738482	739186	+	FAFAHP_03100	mdcE	biotin-independent malonate decarboxylase subunit gamma	RefSeq:WP_043087634.1, SO:0001217, UniParc:UPI0004615AC7, UniRef:UniRef100_A0A5P3KJN8, UniRef:UniRef50_A0A4V1N0T2, UniRef:UniRef90_A0A0U5F831
cluster_001_consensus	cds	739189	739830	+	FAFAHP_03105	mdcG	malonate decarboxylase holo-[acyl-carrier-protein] synthase	RefSeq:WP_039515595.1, SO:0001217, UniParc:UPI0003E07396, UniRef:UniRef100_A0A5P3KJU7, UniRef:UniRef50_A0A0E3YQT3, UniRef:UniRef90_A0A0E3YQT3
cluster_001_consensus	cds	739827	740993	+	FAFAHP_03110	mdcB	triphosphoribosyl-dephospho-CoA synthase MdcB	EC:2.4.2.52, KEGG:K13930, SO:0001217, UniRef:UniRef50_A0A2N9DD80, UniRef:UniRef90_A0A2N9DD80
cluster_001_consensus	cds	740990	741175	+	FAFAHP_03115		Secreted protein	SO:0001217, UniRef:UniRef50_A0A7W9ACE8, UniRef:UniRef90_A0A8D6UHV5
cluster_001_consensus	cds	741172	742092	+	FAFAHP_03120	mdcH	malonate decarboxylase subunit epsilon	RefSeq:WP_039515593.1, SO:0001217, UniParc:UPI0003E0644A, UniRef:UniRef100_W4SMC0, UniRef:UniRef50_M5CUW1, UniRef:UniRef90_W4SMC0
cluster_001_consensus	cds	742180	743535	+	FAFAHP_03125		UIT1 family transporter	RefSeq:WP_224096819.1, SO:0001217, UniParc:UPI001CC736AA, UniRef:UniRef100_UPI001CC736AA, UniRef:UniRef50_A0A259Y3M2, UniRef:UniRef90_A0A0G9D4X1
cluster_001_consensus	cds	743615	744334	+	FAFAHP_03130	gntR	DNA-binding transcriptional regulator, GntR family	COG:COG1802, COG:K, RefSeq:WP_039515587.1, SO:0001217, UniParc:UPI0003E08236, UniRef:UniRef100_W4SN92, UniRef:UniRef50_A0A3S0BE16, UniRef:UniRef90_Q3BY30
cluster_001_consensus	cds	744492	745115	-	FAFAHP_03135		HAD family hydrolase	RefSeq:WP_039515584.1, SO:0001217, UniParc:UPI0003E0794A, UniRef:UniRef100_W4SEW0, UniRef:UniRef50_B0RN98, UniRef:UniRef90_A0A2S7CK83
cluster_001_consensus	cds	745355	745774	-	FAFAHP_03140		Anti-sigma factor antagonist	RefSeq:WP_005923815.1, SO:0001217, UniParc:UPI000297D066, UniRef:UniRef100_A0A2S6YDR9, UniRef:UniRef50_A0A1Y6H2G6, UniRef:UniRef90_A0A6V7BZ02
cluster_001_consensus	cds	745771	746202	-	FAFAHP_03145		HATPase-c domain-containing protein	RefSeq:WP_016903270.1, SO:0001217, UniParc:UPI00031C83A0, UniRef:UniRef100_W4SFG7, UniRef:UniRef50_A0A0A6TYZ5, UniRef:UniRef90_A0A828YJQ4
cluster_001_consensus	cds	746202	748151	-	FAFAHP_03150	icfG	IcfG protein	RefSeq:WP_221230218.1, SO:0001217, UniParc:UPI000AE73086, UniRef:UniRef100_W4SG35, UniRef:UniRef50_A0A7W6L1P0, UniRef:UniRef90_W4SG35
cluster_001_consensus	cds	748380	749048	+	FAFAHP_03155		Secreted protein	SO:0001217, UniParc:UPI000366EAB9, UniRef:UniRef100_W4SGQ9, UniRef:UniRef50_B4SNB2, UniRef:UniRef90_W4SGQ9
cluster_001_consensus	cds	749221	749913	+	FAFAHP_03160		DUF6696 domain-containing protein	SO:0001217, UniParc:UPI0003E07BF3, UniRef:UniRef100_W4SEW5, UniRef:UniRef50_W4SEW5, UniRef:UniRef90_W4SEW5
cluster_001_consensus	ncRNA	749999	750074	+	FAFAHP_03165	sX9	Xanthomonas sRNA sX9	RFAM:RF02228, SO:0000655
cluster_001_consensus	cds	750873	751871	+	FAFAHP_03170		Arabinogalactan endo-beta-1,4-galactanase	RefSeq:WP_039515579.1, SO:0001217, UniParc:UPI00039B8C95, UniRef:UniRef100_A0A5P3KN81, UniRef:UniRef50_A0A1E7WHL2, UniRef:UniRef90_B0RNA4
cluster_001_consensus	cds	752189	754876	+	FAFAHP_03175	aceE	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	COG:C, COG:COG2609, RefSeq:WP_039515577.1, SO:0001217, UniParc:UPI0003E0733C, UniRef:UniRef100_W4SFH1, UniRef:UniRef50_A0A7X1P8N4, UniRef:UniRef90_D2UBC1
cluster_001_consensus	cds	754959	756014	+	FAFAHP_03180		AAA-31 domain-containing protein	SO:0001217, UniParc:UPI0003E0685F, UniRef:UniRef100_W4SG39, UniRef:UniRef50_A0A1S8D0N3, UniRef:UniRef90_W4SG39
cluster_001_consensus	cds	756022	756966	+	FAFAHP_03185		SIR2-2 domain-containing protein	SO:0001217, UniRef:UniRef50_W4SGR3, UniRef:UniRef90_W4SGR3
cluster_001_consensus	cds	756904	757647	-	FAFAHP_03190	tnp	IS3 family transposase ORF B	COG:COG2801, COG:X, SO:0001217, UniRef:UniRef50_A0A0H2XAY0, UniRef:UniRef90_A0A0H2XAY0
cluster_001_consensus	cds	757746	758012	-	FAFAHP_03195	tnp	IS3 family ISXca2 transposase ORF A	IS:ISXca2, RefSeq:WP_003474297.1, SO:0001217, UniParc:UPI0001FD4BA8, UniRef:UniRef100_W4SHX1, UniRef:UniRef50_A0A352KQN0, UniRef:UniRef90_A0A0B2C525
cluster_001_consensus	ncRNA	758244	758326	+	FAFAHP_03200	sRNA-Xcc1	sRNA-Xcc1	RFAM:RF02221, SO:0000655
cluster_001_consensus	cds	758370	758639	+	FAFAHP_03205		Histidine kinase	SO:0001217, UniParc:UPI0003E076DA, UniRef:UniRef100_A0A5P3KKJ2, UniRef:UniRef50_A0A2S7AE64, UniRef:UniRef90_A0A5P3KKJ2
cluster_001_consensus	cds	760221	762041	+	FAFAHP_03210		DUF6696 domain-containing protein	RefSeq:WP_039509903.1, SO:0001217, UniParc:UPI0003E080B9, UniRef:UniRef100_W4SB68, UniRef:UniRef50_A0A1H1C256, UniRef:UniRef90_W4SB68
cluster_001_consensus	cds	762241	763050	-	FAFAHP_03215	lprI	LprI domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7W9AA94, UniRef:UniRef90_A0A0B2C5X0
cluster_001_consensus	cds	763619	764245	+	FAFAHP_03220		RNA polymerase sigma factor	SO:0001217, UniRef:UniRef50_W4SAN3, UniRef:UniRef90_W4SAN3
cluster_001_consensus	cds	764339	764662	+	FAFAHP_03225		DUF4880 domain-containing protein	RefSeq:WP_039509901.1, SO:0001217, UniParc:UPI0003E05F40, UniRef:UniRef100_W4SCK2, UniRef:UniRef50_A0A2S7C5L0, UniRef:UniRef90_A0A2S7C5L0
cluster_001_consensus	cds	764844	765062	+	FAFAHP_03230		TonB-dependent receptor	SO:0001217, UniRef:UniRef50_A0A8D6XZ17
cluster_001_consensus	cds	765343	767790	+	FAFAHP_03235		TonB-dependent receptor	RefSeq:WP_224096827.1, SO:0001217, UniParc:UPI001CC3A4C6, UniRef:UniRef100_UPI001CC3A4C6, UniRef:UniRef50_A0A2S7C5K3, UniRef:UniRef90_A0A2S7C5K3
cluster_001_consensus	cds	767860	769935	+	FAFAHP_03240		Atxe2 family lasso peptide isopeptidase	RefSeq:WP_223571165.1, SO:0001217, UniParc:UPI0003E070CC, UniRef:UniRef100_UPI0003E070CC, UniRef:UniRef50_F0CAT4, UniRef:UniRef90_A0A8D6UP96
cluster_001_consensus	cds	770006	771739	-	FAFAHP_03245		lasso peptide isopeptide bond-forming cyclase	BlastRules:WP_002160857, BlastRules:WP_006205260, BlastRules:WP_010042088, BlastRules:WP_010920557, BlastRules:WP_013079671, BlastRules:WP_013228688, BlastRules:WP_013479714, BlastRules:WP_015813985, BlastRules:WP_016540160, BlastRules:WP_016869271, BlastRules:WP_018082340, BlastRules:WP_023288231, BlastRules:WP_038743077, BlastRules:WP_039509898, BlastRules:WP_047121368, BlastRules:WP_047224581, BlastRules:WP_053804306, BlastRules:WP_054667689, BlastRules:WP_057605464, BlastRules:WP_067372303, BlastRules:WP_073320068, BlastRules:WP_078865739, BlastRules:WP_084722903, BlastRules:WP_087538711, BlastRules:WP_096213204, BlastRules:WP_096660590, BlastRules:WP_097345836, BlastRules:WP_103079658, RefSeq:WP_039509898.1, SO:0001217, UniParc:UPI0003E0839C, UniRef:UniRef100_W4SCJ9, UniRef:UniRef50_A0A0H1ATG5, UniRef:UniRef90_W4SCJ9
cluster_001_consensus	cds	771739	772413	-	FAFAHP_03250		Transglut-core3 domain-containing protein	RefSeq:WP_039509896.1, SO:0001217, UniParc:UPI0003E080F4, UniRef:UniRef100_W4SBT0, UniRef:UniRef50_V7Z887, UniRef:UniRef90_A0A0E3YSI5
cluster_001_consensus	cds	772522	772668	-	FAFAHP_03255		Benenodin family lasso peptide	RefSeq:WP_016903880.1, SO:0001217, UniParc:UPI0002E89688, UniRef:UniRef100_W4SB60, UniRef:UniRef50_W4SB60, UniRef:UniRef90_W4SB60
cluster_001_consensus	cds	772717	772857	-	FAFAHP_03260		lasso peptide xanthomonin 1	BlastRules:WP_016903879, RefSeq:WP_016903879.1, SO:0001217, UniParc:UPI000301898D, UniRef:UniRef100_A0A7U7HP95, UniRef:UniRef50_V7Z9X6, UniRef:UniRef90_V7Z9X6
cluster_001_consensus	cds	773103	773744	-	FAFAHP_03265		HTH gntR-type domain-containing protein	RefSeq:WP_175430095.1, SO:0001217, UniParc:UPI0003E06925, UniRef:UniRef100_W4SAM3, UniRef:UniRef50_V7Z867, UniRef:UniRef90_W4SAM3
cluster_001_consensus	cds	774032	774388	-	FAFAHP_03270		Abhydrolase-3 domain-containing protein	RefSeq:WP_039509895.1, SO:0001217, UniParc:UPI0003E060F9, UniRef:UniRef100_W4SCJ5, UniRef:UniRef50_W4SCJ5, UniRef:UniRef90_W4SCJ5
cluster_001_consensus	cds	774405	775148	-	FAFAHP_03275	tnp	IS3 family transposase ORF B	COG:COG2801, COG:X, SO:0001217, UniRef:UniRef50_A0A0H2XAY0, UniRef:UniRef90_A0A0H2XAY0
cluster_001_consensus	cds	775247	775513	-	FAFAHP_03280	tnp	IS3 family ISXca2 transposase ORF A	IS:ISXca2, RefSeq:WP_003474297.1, SO:0001217, UniParc:UPI0001FD4BA8, UniRef:UniRef100_W4SHX1, UniRef:UniRef50_A0A352KQN0, UniRef:UniRef90_A0A0B2C525
cluster_001_consensus	cds	775571	776260	-	FAFAHP_03285		Alpha/beta hydrolase	RefSeq:WP_081327567.1, SO:0001217, UniParc:UPI0003E05EF2, UniRef:UniRef100_A0A5P3KKT2, UniRef:UniRef50_A0A5P3KKT2, UniRef:UniRef90_A0A5P3KKT2
cluster_001_consensus	cds	776396	777982	-	FAFAHP_03290	fabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	COG:COG1028, COG:I, RefSeq:WP_039513155.1, SO:0001217, UniParc:UPI0003E06F89, UniRef:UniRef100_W4SD39, UniRef:UniRef50_A0A518GF70, UniRef:UniRef90_D4T738
cluster_001_consensus	cds	778176	778322	+	FAFAHP_03295		AMP nucleosidase	SO:0001217, UniRef:UniRef50_W4SCA9, UniRef:UniRef90_W4SCA9
cluster_001_consensus	cds	778496	779470	+	FAFAHP_03300		GST C-terminal domain-containing protein	RefSeq:WP_039513158.1, SO:0001217, UniParc:UPI0003E06A5B, UniRef:UniRef100_W4SBP9, UniRef:UniRef50_Q8KN33, UniRef:UniRef90_A0A1C3NJY7
cluster_001_consensus	cds	779550	779945	+	FAFAHP_03305		VOC domain-containing protein	RefSeq:WP_016904226.1, SO:0001217, UniParc:UPI000304CEE5, UniRef:UniRef100_W4SBD6, UniRef:UniRef50_W4SBD6, UniRef:UniRef90_W4SBD6
cluster_001_consensus	cds	780087	780548	-	FAFAHP_03310		putative membrane protein	COG:COG3918, COG:S, RefSeq:WP_016904225.1, SO:0001217, UniParc:UPI00036A5182, UniRef:UniRef100_W4SB69, UniRef:UniRef50_B4R8U4, UniRef:UniRef90_A0A0H2X3F3
cluster_001_consensus	cds	780763	780939	-	FAFAHP_03315	phzF	PhzF family phenazine biosynthesis protein	SO:0001217, UniParc:UPI0003E06FDA, UniRef:UniRef100_W4SD34, UniRef:UniRef50_W4SD34, UniRef:UniRef90_W4SD34
cluster_001_consensus	cds	780949	781572	-	FAFAHP_03320		Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family	RefSeq:WP_039513163.1, SO:0001217, UniParc:UPI0003E0686A, UniRef:UniRef100_W4SCA3, UniRef:UniRef50_G7UW21, UniRef:UniRef90_A0A2N9DD30
cluster_001_consensus	cds	781722	782057	+	FAFAHP_03325		DUF3817 domain-containing protein	RefSeq:WP_064485220.1, SO:0001217, UniParc:UPI0003A4E1C7, UniRef:UniRef100_W4SBP3, UniRef:UniRef50_A0A0F9WH55, UniRef:UniRef90_F0CAS1
cluster_001_consensus	cds	782181	784157	+	FAFAHP_03330		Dipeptidyl aminopeptidase BIII	SO:0001217, UniParc:UPI000461C87A, UniRef:UniRef100_A0A5P3KJL0, UniRef:UniRef50_A0A2S7C5J8, UniRef:UniRef90_A0A2S7C5J8
cluster_001_consensus	cds	784385	786709	-	FAFAHP_03335	dAP2	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	COG:COG1506, COG:E, RefSeq:WP_039513173.1, SO:0001217, UniParc:UPI000461EF0B, UniRef:UniRef100_W4SB64, UniRef:UniRef50_B0RNE8, UniRef:UniRef90_A0A1Y6HBI9
cluster_001_consensus	cds	787113	788546	+	FAFAHP_03340		GAD-like domain-containing protein	RefSeq:WP_039513175.1, SO:0001217, UniParc:UPI0003E06A04, UniRef:UniRef100_W4SD29, UniRef:UniRef50_A0A0G8Y291, UniRef:UniRef90_W4SD29
cluster_001_consensus	cds	788597	789688	-	FAFAHP_03345		Lipoprotein	RefSeq:WP_039513177.1, SO:0001217, UniParc:UPI0003E0752A, UniRef:UniRef100_W4SC98, UniRef:UniRef50_P77562, UniRef:UniRef90_A0A1V9HFA1
cluster_001_consensus	cds	790129	792003	+	FAFAHP_03350		Histidine kinase	RefSeq:WP_039513179.1, SO:0001217, UniParc:UPI000461F986, UniRef:UniRef100_A0A5P3KKH5, UniRef:UniRef50_A0A0Q5J513, UniRef:UniRef90_A0A0E3UGF2
